"adress","electricity_costs_usd","borough","area_name","postcode","latitude","longitude","building_name","date"
"512 West 212th St",54200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-09-01
"512 West 212th St",63200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-10-01
"512 West 212th St",60800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-11-01
"512 West 212th St",63200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2009-12-01
"512 West 212th St",58000,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-01-01
"512 West 212th St",48200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-02-01
"512 West 212th St",50800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-03-01
"512 West 212th St",52200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-04-01
"512 West 212th St",33000,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-05-01
"512 West 212th St",28600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-06-01
"512 West 212th St",42600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-07-01
"512 West 212th St",52800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-08-01
"512 West 212th St",53800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-09-01
"512 West 212th St",65200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-10-01
"512 West 212th St",55600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-11-01
"512 West 212th St",59600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2010-12-01
"512 West 212th St",58000,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-01-01
"512 West 212th St",48200,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-02-01
"512 West 212th St",49600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-03-01
"512 West 212th St",52000,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-04-01
"512 West 212th St",31400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-05-01
"512 West 212th St",20600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-06-01
"512 West 212th St",9800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-07-01
"512 West 212th St",91600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-08-01
"512 West 212th St",58800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-09-01
"512 West 212th St",53400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-10-01
"512 West 212th St",57600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-11-01
"512 West 212th St",58600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2011-12-01
"512 West 212th St",50400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2012-01-01
"512 West 212th St",43800,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2012-02-01
"512 West 212th St",47400,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2012-03-01
"512 West 212th St",53600,"Manhattan","Battery Park City-Lower Manhattan",10006,40.709196,-74.012022,"Shorac Kappock School",2012-04-01
"232 East 103rd St",56640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-07-01
"232 East 103rd St",48640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-08-01
"232 East 103rd St",54560,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-09-01
"232 East 103rd St",61440,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-10-01
"232 East 103rd St",61600,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-11-01
"232 East 103rd St",60640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2008-12-01
"232 East 103rd St",60800,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-01-01
"232 East 103rd St",51200,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-02-01
"232 East 103rd St",48160,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-03-01
"232 East 103rd St",45280,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-04-01
"232 East 103rd St",52000,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-05-01
"232 East 103rd St",57280,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-06-01
"232 East 103rd St",52160,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-07-01
"232 East 103rd St",52320,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-08-01
"232 East 103rd St",47040,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-09-01
"232 East 103rd St",57440,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-10-01
"232 East 103rd St",48800,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-11-01
"232 East 103rd St",52000,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2009-12-01
"232 East 103rd St",44160,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-01-01
"232 East 103rd St",38720,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-02-01
"232 East 103rd St",39200,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-03-01
"232 East 103rd St",48160,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-04-01
"232 East 103rd St",53280,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-05-01
"232 East 103rd St",50240,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-06-01
"232 East 103rd St",45440,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-07-01
"232 East 103rd St",46080,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-08-01
"232 East 103rd St",42080,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-09-01
"232 East 103rd St",48800,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-10-01
"232 East 103rd St",41600,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-11-01
"232 East 103rd St",44640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2010-12-01
"232 East 103rd St",40800,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-01-01
"232 East 103rd St",37600,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-02-01
"232 East 103rd St",40160,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-03-01
"232 East 103rd St",53920,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-04-01
"232 East 103rd St",48320,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-05-01
"232 East 103rd St",54560,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-06-01
"232 East 103rd St",54560,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-07-01
"232 East 103rd St",44640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-08-01
"232 East 103rd St",46400,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-09-01
"232 East 103rd St",42080,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-10-01
"232 East 103rd St",40640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-11-01
"232 East 103rd St",43680,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2011-12-01
"232 East 103rd St",42560,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2012-01-01
"232 East 103rd St",38240,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2012-02-01
"232 East 103rd St",42880,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2012-03-01
"232 East 103rd St",52640,"Bronx","Highbridge",10452,40.832706,-73.926838,"Roberto Clemente School	(Highbridge)",2012-04-01
"549 Audubon Ave",236000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-07-01
"549 Audubon Ave",204000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-08-01
"549 Audubon Ave",234000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-09-01
"549 Audubon Ave",298000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-10-01
"549 Audubon Ave",298800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-11-01
"549 Audubon Ave",267200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2008-12-01
"549 Audubon Ave",257600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-01-01
"549 Audubon Ave",189600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-02-01
"549 Audubon Ave",210000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-03-01
"549 Audubon Ave",209600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-04-01
"549 Audubon Ave",224400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-05-01
"549 Audubon Ave",210800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-06-01
"549 Audubon Ave",217200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-07-01
"549 Audubon Ave",242400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-08-01
"549 Audubon Ave",236000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-09-01
"549 Audubon Ave",302000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-10-01
"549 Audubon Ave",294000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-11-01
"549 Audubon Ave",297200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2009-12-01
"549 Audubon Ave",262000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-01-01
"549 Audubon Ave",185200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-02-01
"549 Audubon Ave",188000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-03-01
"549 Audubon Ave",223200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-04-01
"549 Audubon Ave",232400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-05-01
"549 Audubon Ave",191600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-06-01
"549 Audubon Ave",175200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-07-01
"549 Audubon Ave",192800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-08-01
"549 Audubon Ave",207600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-09-01
"549 Audubon Ave",318400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-10-01
"549 Audubon Ave",271600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-11-01
"549 Audubon Ave",292400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2010-12-01
"549 Audubon Ave",239200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-01-01
"549 Audubon Ave",176800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-02-01
"549 Audubon Ave",172800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-03-01
"549 Audubon Ave",244400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-04-01
"549 Audubon Ave",222000,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-05-01
"549 Audubon Ave",192400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-06-01
"549 Audubon Ave",204400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-07-01
"549 Audubon Ave",177200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-08-01
"549 Audubon Ave",216400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-09-01
"549 Audubon Ave",217200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-10-01
"549 Audubon Ave",257200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-11-01
"549 Audubon Ave",222400,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2011-12-01
"549 Audubon Ave",197200,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2012-01-01
"549 Audubon Ave",158800,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2012-02-01
"549 Audubon Ave",167600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2012-03-01
"549 Audubon Ave",205600,"Brooklyn","Brownsville",11212,40.668475,-73.912351,"George Washington High School",2012-04-01
"111 East 33rd St",350400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-07-01
"111 East 33rd St",247200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-08-01
"111 East 33rd St",264000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-09-01
"111 East 33rd St",290400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-10-01
"111 East 33rd St",274800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-11-01
"111 East 33rd St",266400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2008-12-01
"111 East 33rd St",272400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-01-01
"111 East 33rd St",230400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-02-01
"111 East 33rd St",282000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-03-01
"111 East 33rd St",298800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-04-01
"111 East 33rd St",296400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-05-01
"111 East 33rd St",325200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-06-01
"111 East 33rd St",296400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-07-01
"111 East 33rd St",273600,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-08-01
"111 East 33rd St",292800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-09-01
"111 East 33rd St",261600,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-10-01
"111 East 33rd St",256800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-11-01
"111 East 33rd St",274800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2009-12-01
"111 East 33rd St",261600,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-01-01
"111 East 33rd St",236400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-02-01
"111 East 33rd St",259200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-03-01
"111 East 33rd St",334800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-04-01
"111 East 33rd St",341200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-05-01
"111 East 33rd St",306400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-06-01
"111 East 33rd St",259200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-07-01
"111 East 33rd St",284800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-08-01
"111 East 33rd St",279200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-09-01
"111 East 33rd St",288800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-10-01
"111 East 33rd St",299200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-11-01
"111 East 33rd St",283200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2010-12-01
"111 East 33rd St",268000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-01-01
"111 East 33rd St",255200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-02-01
"111 East 33rd St",248000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-03-01
"111 East 33rd St",324000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-04-01
"111 East 33rd St",336000,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-05-01
"111 East 33rd St",299200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-06-01
"111 East 33rd St",307200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-07-01
"111 East 33rd St",275200,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-08-01
"111 East 33rd St",288800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-09-01
"111 East 33rd St",282400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-10-01
"111 East 33rd St",294400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-11-01
"111 East 33rd St",274400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2011-12-01
"111 East 33rd St",268800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2012-01-01
"111 East 33rd St",248800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2012-02-01
"111 East 33rd St",270400,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2012-03-01
"111 East 33rd St",312800,"Manhattan","Murray Hill-Kips Bay",10016,40.746176,-73.981241,"Norman Thomas High School",2012-04-01
"411 Pearl St",358800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-07-01
"411 Pearl St",344400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-08-01
"411 Pearl St",368400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-09-01
"411 Pearl St",368400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-10-01
"411 Pearl St",370800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-11-01
"411 Pearl St",354000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2008-12-01
"411 Pearl St",360000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-01-01
"411 Pearl St",302400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-02-01
"411 Pearl St",355200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-03-01
"411 Pearl St",367200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-04-01
"411 Pearl St",290400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-05-01
"411 Pearl St",322800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-06-01
"411 Pearl St",338400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-07-01
"411 Pearl St",361200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-08-01
"411 Pearl St",346800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-09-01
"411 Pearl St",397200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-10-01
"411 Pearl St",357600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-11-01
"411 Pearl St",351600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2009-12-01
"411 Pearl St",386400,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-01-01
"411 Pearl St",322800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-02-01
"411 Pearl St",384000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-03-01
"411 Pearl St",367200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-04-01
"411 Pearl St",460000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-05-01
"411 Pearl St",381600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-06-01
"411 Pearl St",424000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-07-01
"411 Pearl St",387200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-08-01
"411 Pearl St",388800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-09-01
"411 Pearl St",397600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-10-01
"411 Pearl St",403200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-11-01
"411 Pearl St",431200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2010-12-01
"411 Pearl St",433600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-01-01
"411 Pearl St",384800,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-02-01
"411 Pearl St",392000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-03-01
"411 Pearl St",431200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-04-01
"411 Pearl St",373600,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-05-01
"411 Pearl St",376000,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-06-01
"411 Pearl St",379200,"Bronx","Fordham South",10468,40.859752,-73.900161,"Murry Bergtraum High School",2011-07-01
